[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T15:28:59-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022137929"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:28:59-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022137930"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:16-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022154958"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:16-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022154958"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:21-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022160290"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:21-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022160292"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:32-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022170629"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:32-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022170630"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:37-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs","_ts":"1776022175706"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776022186493"},"post_keys":[],"files_keys":[]}
[2026-04-12T15:29:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776022186493"},"post_keys":[],"files_keys":[]}
[2026-04-13T01:50:13-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776059413032"},"post_keys":[],"files_keys":[]}
[2026-04-13T01:50:13-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776059413034"},"post_keys":[],"files_keys":[]}
[2026-04-13T02:15:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776060943184"},"post_keys":[],"files_keys":[]}
[2026-04-13T02:15:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776060943185"},"post_keys":[],"files_keys":[]}
[2026-04-13T02:31:45-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776061905616"},"post_keys":[],"files_keys":[]}
[2026-04-13T02:31:46-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776061905618"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:29:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776065381571"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:29:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776065381572"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:29:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776065384083"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:29:43-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776065384084"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:30:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776065404419"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:30:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776065404419"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:30:42-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:30:44-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:31:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776065460393"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:31:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776065460394"},"post_keys":[],"files_keys":[]}
[2026-04-13T03:36:12-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:53:12-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776081191838"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:53:12-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776081191839"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:53:16-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776081195552"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:53:16-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776081195552"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:57:34-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:59:19-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776081559170"},"post_keys":[],"files_keys":[]}
[2026-04-13T07:59:19-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776081559172"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:11:11-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082271046"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:13:50-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082430245"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:13:50-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776082430246"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:13:54-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082433563"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:13:54-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776082433564"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:15:14-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:15:53-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082552595"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:17:58-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:00-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:02-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082681547"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:02-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776082681547"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:09-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:11-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776082690610"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:18:11-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776082690611"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:19:39-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs","_ts":"1776082778470"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:19:39-04:00] Incoming request | {"method":"POST","action":"upload_assets","get":{"action":"upload_assets","type":"image"},"post_keys":[],"files_keys":["upload_files"]}
[2026-04-13T08:32:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776083520286"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:32:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776083520287"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:32:07-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:32:08-04:00] Incoming request | {"method":"POST","action":"delete_theme","get":{"action":"delete_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:32:09-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776083528984"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:32:09-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776083528985"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:06-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:09-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:09-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:11-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:11-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:26-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:31-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776083610842"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:33:31-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776083610843"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:34:14-04:00] Incoming request | {"method":"POST","action":"save_theme","get":{"action":"save_theme"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:38:02-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:39:17-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776083957151"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:40:01-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776084001412"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:40:01-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776084001412"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:40:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776084048057"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:40:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776084048058"},"post_keys":[],"files_keys":[]}
[2026-04-13T08:46:04-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:05:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776085548144"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:05:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776085548145"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:06:32-04:00] Incoming request | {"method":"POST","action":"save_quizz","get":{"action":"save_quizz"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:06:37-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776085597191"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:06:37-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776085597192"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:07:28-04:00] Incoming request | {"method":"POST","action":"save_quizz","get":{"action":"save_quizz"},"post_keys":[],"files_keys":[]}
[2026-04-13T09:08:02-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776085682114"},"post_keys":[],"files_keys":[]}
[2026-04-14T08:47:03-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776170822787"},"post_keys":[],"files_keys":[]}
[2026-04-14T08:47:03-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776170822788"},"post_keys":[],"files_keys":[]}
[2026-04-14T08:54:25-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs","_ts":"1776171264656"},"post_keys":[],"files_keys":[]}
[2026-04-15T01:49:10-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776232148650"},"post_keys":[],"files_keys":[]}
[2026-04-15T01:49:10-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776232148650"},"post_keys":[],"files_keys":[]}
[2026-04-15T02:16:44-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776233802544"},"post_keys":[],"files_keys":[]}
[2026-04-15T02:16:44-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776233802545"},"post_keys":[],"files_keys":[]}
